 CD_PLEITO;CD_ELEICAO;  CD_CARGO;SG_UE_UF;DT_TOTALIZACAO     ;QT_SECOES_TOTAL;QT_APTOS_TOTAL;QT_SECOES_TOT;QT_SECOES_TOT_ACUMULADO;PE_SECOES_TOT_ACUMULADO                      ;QT_APTOS_TOT;QT_APTOS_TOT_ACUMULADO;QT_VOTOS_TOTAL;QT_VOTOS_TOTAL_ACUMULADO;QT_VOTOS_CONCORRENTES;QT_VOTOS_CONCORRENTES_ACUMULADO;LULA_QT_VOTOS_TOT;LULA_QT_VOTOS_TOT_ACUMULADO;LULA_PE_VOTOS_TOT_ACUMULADO                  ;JAIR_BOLSONARO_QT_VOTOS_TOT;JAIR_BOLSONARO_QT_VOTOS_TOT_ACUMULADO;JAIR_BOLSONARO_PE_VOTOS_TOT_ACUMULADO        ;BRANCO_QT_VOTOS_TOT;BRANCO_QT_VOTOS_TOT_ACUMULADO;BRANCO_PE_VOTOS_TOT_ACUMULADO                ;NULO_QT_VOTOS_TOT;NULO_QT_VOTOS_TOT_ACUMULADO;NULO_PE_VOTOS_TOT_ACUMULADO
       407;       545;         1;BR      ;30/10/2022 17:00:51;         472075;     156454011;           55;                     55;                                     0,000117;       42199;                 42199;         21282;                   21282;                20341;                          20341;            10291;                      10291;                                     0,505924;                      10050;                                10050;                                     0,494076;                525;                          525;                                     0,024669;              416;                        416;                                     0,019547
       407;       545;         1;BR      ;30/10/2022 17:00:52;         472075;     156454011;           30;                     85;                                     0,000180;       19339;                 61538;          6426;                   27708;                 6209;                          26550;             3277;                      13568;                                     0,511036;                       2932;                                12982;                                     0,488964;                108;                          633;                                     0,022845;              109;                        525;                                     0,018948
       407;       545;         1;BR      ;30/10/2022 17:00:54;         472075;     156454011;          373;                    458;                                     0,000970;      266391;                327929;        122525;                  150233;               117319;                         143869;            63700;                      77268;                                     0,537072;                      53619;                                66601;                                     0,462928;               2610;                         3243;                                     0,021586;             2596;                       3121;                                     0,020774
       407;       545;         1;BR      ;30/10/2022 17:00:55;         472075;     156454011;          115;                    573;                                     0,001214;       78926;                406855;         34164;                  184397;                33071;                         176940;            24111;                     101379;                                     0,572957;                       8960;                                75561;                                     0,427043;                511;                         3754;                                     0,020358;              582;                       3703;                                     0,020082
       407;       545;         1;BR      ;30/10/2022 17:01:51;         472075;     156454011;            1;                    574;                                     0,001216;          76;                406931;            55;                  184452;                   51;                         176991;               35;                     101414;                                     0,572990;                         16;                                75577;                                     0,427010;                  1;                         3755;                                     0,020358;                3;                       3706;                                     0,020092
       407;       545;         1;BR      ;30/10/2022 17:02:52;         472075;     156454011;            5;                    579;                                     0,001227;        1575;                408506;          1314;                  185766;                 1264;                         178255;              599;                     102013;                                     0,572287;                        665;                                76242;                                     0,427713;                 16;                         3771;                                     0,020300;               34;                       3740;                                     0,020133
       407;       545;         1;BR      ;30/10/2022 17:03:53;         472075;     156454011;            7;                    586;                                     0,001241;        2173;                410679;          1800;                  187566;                 1739;                         179994;              701;                     102714;                                     0,570652;                       1038;                                77280;                                     0,429348;                 20;                         3791;                                     0,020212;               41;                       3781;                                     0,020158
       407;       545;         1;BR      ;30/10/2022 17:04:53;         472075;     156454011;           16;                    602;                                     0,001275;        5690;                416369;          4834;                  192400;                 4601;                         184595;             1889;                     104603;                                     0,566662;                       2712;                                79992;                                     0,433338;                 72;                         3863;                                     0,020078;              161;                       3942;                                     0,020489
       407;       545;         1;BR      ;30/10/2022 17:04:54;         472075;     156454011;           12;                    614;                                     0,001301;        4029;                420398;          3343;                  195743;                 3195;                         187790;             1241;                     105844;                                     0,563630;                       1954;                                81946;                                     0,436370;                 48;                         3911;                                     0,019980;              100;                       4042;                                     0,020650
       407;       545;         1;BR      ;30/10/2022 17:05:54;         472075;     156454011;           46;                    660;                                     0,001398;       15098;                435496;         12378;                  208121;                11916;                         199706;             4667;                     110511;                                     0,553368;                       7249;                                89195;                                     0,446632;                179;                         4090;                                     0,019652;              283;                       4325;                                     0,020781
