metric,shrink_threshold,modelo,encoder,fator_balanc,num_pipe,qtde_features,features,metodo selecao,contagem_exp,acuracia,recall_0,recall_1,prec_0,prec_1,auc,auc_valid,auc_valid_teste
cosine,1.0,NearestCentroid,OneHotEncoder,0.35,2,51,"LIMIT_BAL,SEX,EDUCATION_3.0,EDUCATION_1.0,EDUCATION_2.0,EDUCATION_5.0,EDUCATION_4.0,EDUCATION_6.0,EDUCATION_0.0,MARRIAGE_2.0,MARRIAGE_1.0,MARRIAGE_3.0,MARRIAGE_0.0,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,atraso_2m_historico_6m,pago_parcial,BILL_MEDIO,BILL_TOTAL,PAY_AMT_TOTAL,perc_comprometido_pagamento 1,perc_comprometido_pagamento 2,perc_comprometido_pagamento 3,perc_comprometido_pagamento 4,perc_comprometido_pagamento 5,perc_comprometido_pagamento 6,perc_comprometido_fatura 1,perc_comprometido_fatura 2,perc_comprometido_fatura 3,perc_comprometido_fatura 4,perc_comprometido_fatura 5,perc_comprometido_fatura 6,saldo_devedor,saldo_dev_por_limite",SelectFromModel,5,0.758,0.8078322276909908,0.5825169555388093,0.872025872025872,0.4625972471573908,0.6951745916149001,0.6847917101202189,0.6899831508675596
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,5,51,"AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,BILL_MEDIO,BILL_TOTAL,EDUCATION_0.0,EDUCATION_1.0,EDUCATION_2.0,EDUCATION_3.0,EDUCATION_4.0,EDUCATION_5.0,EDUCATION_6.0,LIMIT_BAL,MARRIAGE_0.0,MARRIAGE_1.0,MARRIAGE_2.0,MARRIAGE_3.0,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,PAY_AMT_TOTAL,SEX,atraso_2m_historico_6m,pago_parcial,perc_comprometido_fatura 1,perc_comprometido_fatura 2,perc_comprometido_fatura 3,perc_comprometido_fatura 4,perc_comprometido_fatura 5,perc_comprometido_fatura 6,perc_comprometido_pagamento 1,perc_comprometido_pagamento 2,perc_comprometido_pagamento 3,perc_comprometido_pagamento 4,perc_comprometido_pagamento 5,perc_comprometido_pagamento 6,saldo_dev_por_limite,saldo_devedor",Aleatorio,5,0.7659999999999999,0.8219559169698266,0.5689525244913338,0.870382959438024,0.4757403906742281,0.6954542207305803,0.6837329548717855,0.689593587801183
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,1,4,"AGE,PAY_0,atraso_2m_historico_6m,PAY_AMT_TOTAL",SelectFromModel,1,0.7456666666666667,0.7783008773806976,0.6307460437076111,0.8812696874242791,0.4468766684463428,0.7045234605441544,0.697112114699241,0.7008177876216977
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,2,4,"AGE,PAY_0,PAY_2,PAY_AMT_TOTAL",SelectFromModel,5,0.7863333333333333,0.8585491119195379,0.5320271288620949,0.865961579969782,0.5164594001463058,0.6952881203908163,0.6932148978425878,0.6942515091167021
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,1,7,"LIMIT_BAL,AGE,PAY_0,PAY_2,atraso_2m_historico_6m,PAY_AMT_TOTAL,perc_comprometido_fatura 1",SelectFromModel,5,0.7709999999999999,0.8324416862829018,0.5546345139412208,0.8681097969203304,0.4845292955892034,0.6935381001120613,0.6887357812419705,0.6911369406770159
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,1,8,"LIMIT_BAL,AGE,PAY_0,PAY_2,BILL_AMT1,atraso_2m_historico_6m,PAY_AMT_TOTAL,perc_comprometido_fatura 1",SelectFromModel,5,0.7709999999999999,0.8324416862829018,0.5546345139412208,0.8681097969203304,0.4845292955892034,0.6935381001120613,0.6887357812419705,0.6911369406770159
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,1,10,"LIMIT_BAL,AGE,PAY_0,PAY_2,BILL_AMT1,atraso_2m_historico_6m,BILL_MEDIO,PAY_AMT_TOTAL,perc_comprometido_fatura 1,perc_comprometido_fatura 2",SelectFromModel,5,0.7728333333333334,0.8360796062486624,0.5501130369253956,0.8674511545293073,0.4879679144385027,0.6930963215870289,0.6883186271398041,0.6907074743634165
cityblock,0.9,NearestCentroid,OneHotEncoder,0.3,1,9,"LIMIT_BAL,AGE,PAY_0,PAY_2,BILL_AMT1,atraso_2m_historico_6m,PAY_AMT_TOTAL,perc_comprometido_fatura 1,perc_comprometido_fatura 2",SelectFromModel,5,0.7728333333333334,0.8360796062486624,0.5501130369253956,0.8674511545293073,0.4879679144385027,0.6930963215870289,0.6881848657700878,0.6906405936785585
cityblock,0.88,NearestCentroid,OneHotEncoder,0.3,4,4,"PAY_0,PAY_AMT_TOTAL,PAY_AMT_TOTAL,atraso_2m_historico_6m",Aleatorio,5,0.7458333333333333,0.7783008773806976,0.6314996232102487,0.8814832767813863,0.4471718249733191,0.7049002502954731,0.697112114699241,0.7010061824973571
cityblock,0.88,NearestCentroid,OneHotEncoder,0.3,4,4,"AGE,PAY_0,PAY_AMT_TOTAL,atraso_2m_historico_6m",Aleatorio,10,0.7456666666666667,0.7783008773806976,0.6307460437076111,0.8812696874242791,0.4468766684463429,0.7045234605441543,0.697112114699241,0.7008177876216976
