,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,encoder,Fator_balanc,Normalizacao
0,NearestCentroid,0.7033333333333334,0.6686375686566126,0.6686375686566128,0.722831498668969,0.07038092613220215,N/A,LabelEncoder,N/A,NAO
1,GaussianNB,0.6395833333333333,0.6637707707980037,0.6637707707980036,0.6700073308995472,0.07016420364379883,N/A,LabelEncoder,N/A,NAO
2,LinearDiscriminantAnalysis,0.8127083333333334,0.6599929567459561,0.6599929567459561,0.7954575837174835,0.22556257247924805,N/A,LabelEncoder,N/A,NAO
3,LGBMClassifier,0.8175,0.6489134344780888,0.6489134344780889,0.7943661428867868,0.603471040725708,N/A,LabelEncoder,N/A,NAO
4,AdaBoostClassifier,0.8183333333333334,0.647426189418191,0.647426189418191,0.7942752120180512,2.19834566116333,N/A,LabelEncoder,N/A,NAO
5,ExtraTreesClassifier,0.8058333333333333,0.6468155725440052,0.6468155725440052,0.786830156366344,2.068622589111328,N/A,LabelEncoder,N/A,NAO
6,XGBClassifier,0.8075,0.6462004213861003,0.6462004213861003,0.7875800783836945,3.75710129737854,N/A,LabelEncoder,N/A,NAO
7,CalibratedClassifierCV,0.8141666666666667,0.6450880104469897,0.6450880104469898,0.7909989054482599,12.631070375442505,N/A,LabelEncoder,N/A,NAO
8,LogisticRegression,0.8139583333333333,0.6442801522310188,0.6442801522310188,0.7905704998342481,0.26380062103271484,N/A,LabelEncoder,N/A,NAO
9,LinearSVC,0.81375,0.6421241003225387,0.6421241003225387,0.7896160034506031,3.472291946411133,N/A,LabelEncoder,N/A,NAO
10,RidgeClassifierCV,0.8139583333333333,0.6419208132691279,0.6419208132691279,0.7896531376618829,0.10798239707946777,N/A,LabelEncoder,N/A,NAO
11,RidgeClassifier,0.8139583333333333,0.6419208132691279,0.6419208132691279,0.7896531376618829,0.08784866333007812,N/A,LabelEncoder,N/A,NAO
12,SVC,0.816875,0.6407600366370124,0.6407600366370124,0.7908143640572513,14.481851577758789,N/A,LabelEncoder,N/A,NAO
13,RandomForestClassifier,0.808125,0.6405348338789588,0.6405348338789588,0.7858380248109301,4.8035569190979,N/A,LabelEncoder,N/A,NAO
14,Perceptron,0.7864583333333334,0.6377462493916503,0.6377462493916503,0.7724072353961455,0.09962034225463867,N/A,LabelEncoder,N/A,NAO
15,BernoulliNB,0.690625,0.6335142512537295,0.6335142512537295,0.7087472745431611,0.09600210189819336,N/A,LabelEncoder,N/A,NAO
16,SGDClassifier,0.799375,0.6328945658121053,0.6328945658121053,0.7780403916988787,0.24333691596984863,N/A,LabelEncoder,N/A,NAO
17,DecisionTreeClassifier,0.724375,0.6174341697575367,0.6174341697575367,0.7288236799933445,0.46273112297058105,N/A,LabelEncoder,N/A,NAO
18,BaggingClassifier,0.7922916666666666,0.6165499844322926,0.6165499844322926,0.7677470259709863,3.3690061569213867,N/A,LabelEncoder,N/A,NAO
19,KNeighborsClassifier,0.77875,0.6129112217476339,0.6129112217476339,0.7592240369679387,4.114135980606079,N/A,LabelEncoder,N/A,NAO
20,QuadraticDiscriminantAnalysis,0.6879166666666666,0.5994187048271984,0.5994187048271983,0.7010401653613533,0.11065101623535156,N/A,LabelEncoder,N/A,NAO
21,LabelSpreading,0.724375,0.5972112643699008,0.5972112643699008,0.7235757482177163,37.16308641433716,N/A,LabelEncoder,N/A,NAO
22,LabelPropagation,0.721875,0.5962802247795582,0.5962802247795582,0.7218280958764989,25.01142382621765,N/A,LabelEncoder,N/A,NAO
23,ExtraTreeClassifier,0.7133333333333334,0.5938294444293302,0.5938294444293303,0.7160225962117069,0.07018232345581055,N/A,LabelEncoder,N/A,NAO
24,PassiveAggressiveClassifier,0.681875,0.5362191026350234,0.5362191026350234,0.6811715716131015,0.10551643371582031,N/A,LabelEncoder,N/A,NAO
25,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.06108856201171875,N/A,LabelEncoder,N/A,NAO
26,NearestCentroid,0.7033333333333334,0.6686375686566126,0.6686375686566128,0.722831498668969,0.05700039863586426,N/A,LabelEncoder,N/A,SIM
27,GaussianNB,0.6395833333333333,0.6637707707980037,0.6637707707980036,0.6700073308995472,0.08631515502929688,N/A,LabelEncoder,N/A,SIM
28,LinearDiscriminantAnalysis,0.8127083333333334,0.6599929567459561,0.6599929567459561,0.7954575837174835,0.2079792022705078,N/A,LabelEncoder,N/A,SIM
29,LGBMClassifier,0.8175,0.6489134344780888,0.6489134344780889,0.7943661428867868,0.7826213836669922,N/A,LabelEncoder,N/A,SIM
30,AdaBoostClassifier,0.8183333333333334,0.647426189418191,0.647426189418191,0.7942752120180512,1.7765865325927734,N/A,LabelEncoder,N/A,SIM
31,ExtraTreesClassifier,0.8058333333333333,0.6468155725440052,0.6468155725440052,0.786830156366344,2.443359851837158,N/A,LabelEncoder,N/A,SIM
32,XGBClassifier,0.8075,0.6462004213861003,0.6462004213861003,0.7875800783836945,5.022393703460693,N/A,LabelEncoder,N/A,SIM
33,CalibratedClassifierCV,0.8141666666666667,0.6450880104469897,0.6450880104469898,0.7909989054482599,14.143162727355957,N/A,LabelEncoder,N/A,SIM
34,LogisticRegression,0.8139583333333333,0.6442801522310188,0.6442801522310188,0.7905704998342481,0.23473715782165527,N/A,LabelEncoder,N/A,SIM
35,LinearSVC,0.81375,0.6421241003225387,0.6421241003225387,0.7896160034506031,3.4068567752838135,N/A,LabelEncoder,N/A,SIM
36,RidgeClassifierCV,0.8139583333333333,0.6419208132691279,0.6419208132691279,0.7896531376618829,0.09856748580932617,N/A,LabelEncoder,N/A,SIM
37,RidgeClassifier,0.8139583333333333,0.6419208132691279,0.6419208132691279,0.7896531376618829,0.07422542572021484,N/A,LabelEncoder,N/A,SIM
38,SVC,0.816875,0.6407600366370124,0.6407600366370124,0.7908143640572513,14.108972072601318,N/A,LabelEncoder,N/A,SIM
39,RandomForestClassifier,0.808125,0.6405348338789588,0.6405348338789588,0.7858380248109301,4.693157434463501,N/A,LabelEncoder,N/A,SIM
40,Perceptron,0.7864583333333334,0.6377462493916503,0.6377462493916503,0.7724072353961455,0.08060646057128906,N/A,LabelEncoder,N/A,SIM
41,BernoulliNB,0.690625,0.6335142512537295,0.6335142512537295,0.7087472745431611,0.061003684997558594,N/A,LabelEncoder,N/A,SIM
42,SGDClassifier,0.799375,0.6328945658121053,0.6328945658121053,0.7780403916988787,0.18628787994384766,N/A,LabelEncoder,N/A,SIM
43,DecisionTreeClassifier,0.724375,0.6174341697575367,0.6174341697575367,0.7288236799933445,0.45811891555786133,N/A,LabelEncoder,N/A,SIM
44,BaggingClassifier,0.7922916666666666,0.6165499844322926,0.6165499844322926,0.7677470259709863,2.5881552696228027,N/A,LabelEncoder,N/A,SIM
45,KNeighborsClassifier,0.77875,0.6129112217476339,0.6129112217476339,0.7592240369679387,4.350023984909058,N/A,LabelEncoder,N/A,SIM
46,LabelSpreading,0.724375,0.5972112643699008,0.5972112643699008,0.7235757482177163,32.640209436416626,N/A,LabelEncoder,N/A,SIM
47,LabelPropagation,0.721875,0.5962802247795582,0.5962802247795582,0.7218280958764989,19.398687839508057,N/A,LabelEncoder,N/A,SIM
48,ExtraTreeClassifier,0.7133333333333334,0.5938294444293302,0.5938294444293303,0.7160225962117069,0.0671534538269043,N/A,LabelEncoder,N/A,SIM
49,QuadraticDiscriminantAnalysis,0.6641666666666667,0.5861921992182895,0.5861921992182894,0.6823655894886365,0.1139986515045166,N/A,LabelEncoder,N/A,SIM
50,PassiveAggressiveClassifier,0.681875,0.5362191026350234,0.5362191026350234,0.6811715716131015,0.08875489234924316,N/A,LabelEncoder,N/A,SIM
51,DummyClassifier,0.6502083333333334,0.4912828395498363,0.4912828395498363,0.6497936356891713,0.05157303810119629,N/A,LabelEncoder,N/A,SIM
52,NearestCentroid,0.5852083333333333,0.5590900297146726,0.5590900297146726,0.6191622888582563,0.02303624153137207,1,LabelEncoder,N/A,SIM
53,KNeighborsClassifier,0.738125,0.506947278371769,0.506947278371769,0.6884418706897374,0.1621227264404297,1,LabelEncoder,N/A,SIM
54,BaggingClassifier,0.6760416666666667,0.5058469588559096,0.5058469588559096,0.6673892421302015,0.3501474857330322,1,LabelEncoder,N/A,SIM
55,ExtraTreesClassifier,0.6589583333333333,0.5056640760792351,0.5056640760792351,0.6591303874955953,1.1696419715881348,1,LabelEncoder,N/A,SIM
56,DecisionTreeClassifier,0.6585416666666667,0.505059504916675,0.505059504916675,0.6587139310356022,0.06899571418762207,1,LabelEncoder,N/A,SIM
57,RandomForestClassifier,0.6583333333333333,0.5049257435469585,0.5049257435469585,0.6585629960876496,3.249168872833252,1,LabelEncoder,N/A,SIM
58,PassiveAggressiveClassifier,0.770625,0.50455771085175,0.50455771085175,0.6882459579097423,0.03501081466674805,1,LabelEncoder,N/A,SIM
59,XGBClassifier,0.775,0.500962779576377,0.500962779576377,0.6838256684491978,0.9316163063049316,1,LabelEncoder,N/A,SIM
