,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,Fator_balanc,Normalizacao
0,NearestCentroid,0.7094365241004752,0.7124621309973932,0.7124621309973931,0.7241370432379683,0.023017406463623047,N/A,0.37,NAO
1,GaussianNB,0.7247114731839783,0.694026091449238,0.694026091449238,0.7342290495002383,0.034999847412109375,N/A,0.37,NAO
2,BernoulliNB,0.7141887304820095,0.6900448556868086,0.6900448556868086,0.7254993301150201,0.0330049991607666,N/A,0.37,NAO
3,PassiveAggressiveClassifier,0.7124915139171758,0.6652262746295297,0.6652262746295295,0.7200529759270506,0.043650150299072266,N/A,0.37,NAO
4,QuadraticDiscriminantAnalysis,0.7294636795655126,0.6511577933820248,0.6511577933820247,0.7282971747647591,0.036000967025756836,N/A,0.37,NAO
5,LinearDiscriminantAnalysis,0.7532247114731839,0.6280935158873676,0.6280935158873677,0.7335370340845431,0.060016632080078125,N/A,0.37,NAO
6,AdaBoostClassifier,0.7556008146639511,0.626508888941077,0.626508888941077,0.7339685593541527,0.6540052890777588,N/A,0.37,NAO
7,LogisticRegression,0.7539035980991174,0.6241463328714685,0.6241463328714685,0.7320253168902646,0.05399465560913086,N/A,0.37,NAO
8,LGBMClassifier,0.7477936184657162,0.6219769380709705,0.6219769380709707,0.728044956750943,0.25499987602233887,N/A,0.37,NAO
9,XGBClassifier,0.7460964019008826,0.6216193842324041,0.6216193842324041,0.7270467940922749,1.3634965419769287,N/A,0.37,NAO
10,LinearSVC,0.7593346911065852,0.6194358986402386,0.6194358986402386,0.7321542466736117,0.5869882106781006,N/A,0.37,NAO
11,RandomForestClassifier,0.7535641547861507,0.619102416570771,0.6191024165707709,0.7293927429169123,1.7700166702270508,N/A,0.37,NAO
12,ExtraTreesClassifier,0.7552613713509844,0.6186579695169206,0.6186579695169206,0.7299372974085324,1.3489837646484375,N/A,0.37,NAO
13,RidgeClassifier,0.7606924643584522,0.6159525375167328,0.6159525375167328,0.7308489284711378,0.03798699378967285,N/A,0.37,NAO
